lag_intervals,corr,n,lag_seconds,lag_minutes,lag_hours
-48.0,0.13342054947998122,1073.0,-172800.0,-2880.0,-48.0
-47.0,0.14178815305354037,1074.0,-169200.0,-2820.0,-47.0
-46.0,0.15512981991681105,1075.0,-165600.0,-2760.0,-46.0
-45.0,0.17646565025251554,1076.0,-162000.0,-2700.0,-45.0
-44.0,0.19795297046605634,1077.0,-158400.0,-2640.0,-44.0
-43.0,0.22560140857362526,1078.0,-154800.0,-2580.0,-43.0
-42.0,0.2500892600800994,1079.0,-151200.0,-2520.0,-42.0
-41.0,0.2479168588159353,1080.0,-147600.0,-2460.0,-41.0
-40.0,0.22551512581813205,1081.0,-144000.0,-2400.0,-40.0
-39.0,0.19173813444438378,1082.0,-140400.0,-2340.0,-39.0
-38.0,0.1621608419142147,1083.0,-136800.0,-2280.0,-38.0
-37.0,0.13496581298527535,1084.0,-133200.0,-2220.0,-37.0
-36.0,0.11207380631379486,1085.0,-129600.0,-2160.0,-36.0
-35.0,0.10337072594368535,1086.0,-126000.0,-2100.0,-35.0
-34.0,0.11248194631554509,1087.0,-122400.0,-2040.0,-34.0
-33.0,0.13153789383927178,1088.0,-118800.0,-1980.0,-33.0
-32.0,0.1521314105883372,1089.0,-115200.0,-1920.0,-32.0
-31.0,0.1828948331181566,1090.0,-111600.0,-1860.0,-31.0
-30.0,0.20319431207883004,1091.0,-108000.0,-1800.0,-30.0
-29.0,0.2186566250190274,1092.0,-104400.0,-1740.0,-29.0
-28.0,0.21931962729672752,1093.0,-100800.0,-1680.0,-28.0
-27.0,0.204859123001353,1094.0,-97200.0,-1620.0,-27.0
-26.0,0.19662601434824686,1095.0,-93600.0,-1560.0,-26.0
-25.0,0.19269472876662433,1096.0,-90000.0,-1500.0,-25.0
-24.0,0.1913251710706077,1097.0,-86400.0,-1440.0,-24.0
-23.0,0.20234187837510492,1098.0,-82800.0,-1380.0,-23.0
-22.0,0.21297055126741155,1099.0,-79200.0,-1320.0,-22.0
-21.0,0.22853491089495653,1100.0,-75600.0,-1260.0,-21.0
-20.0,0.2480431056563687,1101.0,-72000.0,-1200.0,-20.0
-19.0,0.27753083140923335,1102.0,-68400.0,-1140.0,-19.0
-18.0,0.2992499426313414,1103.0,-64800.0,-1080.0,-18.0
-17.0,0.3065916044240164,1104.0,-61200.0,-1020.0,-17.0
-16.0,0.28576774605325483,1105.0,-57600.0,-960.0,-16.0
-15.0,0.25448168863014115,1106.0,-54000.0,-900.0,-15.0
-14.0,0.22210778853384916,1107.0,-50400.0,-840.0,-14.0
-13.0,0.19638736638412474,1109.0,-46800.0,-780.0,-13.0
-12.0,0.1762774115241892,1111.0,-43200.0,-720.0,-12.0
-11.0,0.17347523791700684,1113.0,-39600.0,-660.0,-11.0
-10.0,0.1714924760074884,1115.0,-36000.0,-600.0,-10.0
-9.0,0.19179953136797095,1117.0,-32400.0,-540.0,-9.0
-8.0,0.21846939925891104,1119.0,-28800.0,-480.0,-8.0
-7.0,0.2471869616267262,1121.0,-25200.0,-420.0,-7.0
-6.0,0.2716926995267168,1123.0,-21600.0,-360.0,-6.0
-5.0,0.2871226025183579,1125.0,-18000.0,-300.0,-5.0
-4.0,0.2910820427243348,1127.0,-14400.0,-240.0,-4.0
-3.0,0.2750377074904352,1129.0,-10800.0,-180.0,-3.0
-2.0,0.26577912379625435,1131.0,-7200.0,-120.0,-2.0
-1.0,0.25926954991569395,1134.0,-3600.0,-60.0,-1.0
0.0,0.2576658603195055,1137.0,0.0,0.0,0.0
1.0,0.25983443279816665,1134.0,3600.0,60.0,1.0
2.0,0.27287422027077984,1131.0,7200.0,120.0,2.0
3.0,0.2790997309325368,1129.0,10800.0,180.0,3.0
4.0,0.3034185718484792,1127.0,14400.0,240.0,4.0
5.0,0.3288036799881181,1125.0,18000.0,300.0,5.0
6.0,0.3481027710465904,1123.0,21600.0,360.0,6.0
7.0,0.3445711160065166,1121.0,25200.0,420.0,7.0
8.0,0.3202080749163602,1119.0,28800.0,480.0,8.0
9.0,0.2842637534374169,1117.0,32400.0,540.0,9.0
10.0,0.25360976454266326,1115.0,36000.0,600.0,10.0
11.0,0.22763297241633043,1113.0,39600.0,660.0,11.0
12.0,0.20451030611376433,1111.0,43200.0,720.0,12.0
13.0,0.19222452840789714,1109.0,46800.0,780.0,13.0
14.0,0.20630851485925075,1107.0,50400.0,840.0,14.0
15.0,0.22614857154226406,1106.0,54000.0,900.0,15.0
16.0,0.2506823599315097,1105.0,57600.0,960.0,16.0
